timestamp,message
1757511342804,"INFO	2025-09-10T13:35:42,804	10153	org.apache.spark.metrics.source.StageSkewness	[Thread-10]	29	[Observability] Skewness metric using Skewness Factor = 5
"
1757511342805,"INFO	2025-09-10T13:35:42,805	10154	org.apache.spark.metrics.source.ObservabilityTaskInfoRecorderListener	[Thread-10]	68	PerformanceMetricsSource is initiated
"
1757511342805,"INFO	2025-09-10T13:35:42,805	10154	com.amazonaws.services.glue.GlueContext	[Thread-10]	129	ObservabilityMetrics configured and enabled
"
1757511342834,"INFO	2025-09-10T13:35:42,833	10182	com.amazonaws.services.glue.util.Job$	[Thread-10]	94	runId Method is Invoked 
"
1757511342834,"INFO	2025-09-10T13:35:42,834	10183	com.amazonaws.services.glue.util.Job$	[Thread-10]	103	Job run ID under runId method is jr_abeec7a629dbdd0b2a85341d68fc44240c90423c19d39a89788cb1e38c7c826d 
"
1757511342867,"INFO	2025-09-10T13:35:42,867	10216	com.amazon.ws.emr.hadoop.fs.guice.DefaultAWSCredentialsProviderFactory	[Thread-10]	72	Unable to create provider using constructor: DefaultAWSCredentialsProviderChain(java.net.URI, org.apache.hadoop.conf.Configuration)
"
1757511342868,"INFO	2025-09-10T13:35:42,868	10217	com.amazon.ws.emr.hadoop.fs.util.ClientConfigurationFactory	[Thread-10]	85	Set initial getObject socket timeout to 2000 ms.
"
1757511342870,"INFO	2025-09-10T13:35:42,870	10219	com.amazonaws.services.glue.util.FileListPersistence	[Thread-10]	37	create FileListPersistence with conf: fs.s3.serverSideEncryption.kms.keyId: None
"
1757511342872,"INFO	2025-09-10T13:35:42,872	10221	com.amazonaws.services.glue.utils.EndpointConfig$	[Thread-10]	36	 STAGE is prod
"
1757511342873,"INFO	2025-09-10T13:35:42,873	10222	com.amazonaws.services.glue.utils.EndpointConfig$	[Thread-10]	90	Endpoints: {credentials_provider=com.amazonaws.auth.DefaultAWSCredentialsProviderChain, glue.endpoint=https://glue.us-east-1.amazonaws.com, lakeformation.endpoint=https://lakeformation.us-east-1.amazonaws.com, jes.endpoint=https://glue-jes-prod.us-east-1.amazonaws.com, region=us-east-1}
"
1757511342901,"INFO	2025-09-10T13:35:42,900	10249	com.amazonaws.services.glue.util.AvroReaderUtil$	[Thread-10]	245	Creating default Avro field parser for version 1.7.
"
1757511343062,"INFO	2025-09-10T13:35:43,061	10410	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_0 stored as values in memory (estimated size 243.0 KiB, free 5.8 GiB)
"
1757511343157,"INFO	2025-09-10T13:35:43,156	10505	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_0_piece0 stored as bytes in memory (estimated size 40.6 KiB, actual size: 40.6 KiB, free 5.8 GiB)
"
1757511343159,"INFO	2025-09-10T13:35:43,159	10508	org.apache.spark.storage.BlockManagerInfo	[dispatcher-BlockManagerMaster]	60	Added broadcast_0_piece0 in memory on 172.39.49.172:37387 (size: 40.6 KiB, free: 5.8 GiB)
"
1757511343165,"INFO	2025-09-10T13:35:43,165	10514	org.apache.spark.SparkContext	[Thread-10]	60	Created broadcast 0 from broadcast at DynamoConnection.scala:55
"
1757511343178,"INFO	2025-09-10T13:35:43,178	10527	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_1 stored as values in memory (estimated size 243.0 KiB, free 5.8 GiB)
"
1757511343221,"INFO	2025-09-10T13:35:43,221	10570	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_1_piece0 stored as bytes in memory (estimated size 40.6 KiB, actual size: 40.6 KiB, free 5.8 GiB)
"
1757511343231,"INFO	2025-09-10T13:35:43,230	10579	org.apache.spark.storage.BlockManagerInfo	[dispatcher-BlockManagerMaster]	60	Added broadcast_1_piece0 in memory on 172.39.49.172:37387 (size: 40.6 KiB, free: 5.8 GiB)
"
1757511343234,"INFO	2025-09-10T13:35:43,234	10583	org.apache.spark.SparkContext	[Thread-10]	60	Created broadcast 1 from broadcast at DynamoConnection.scala:55
"
1757511343236,"INFO	2025-09-10T13:35:43,236	10585	com.amazonaws.services.glue.util.JobBookmark$	[Thread-10]	71	jobbookmark is not enabled, do not init AWSGlueJobBookMarkService
"
1757511343246,"INFO	2025-09-10T13:35:43,246	10595	org.apache.spark.storage.BlockManagerInfo	[dispatcher-BlockManagerMaster]	60	Removed broadcast_0_piece0 on 172.39.49.172:37387 in memory (size: 40.6 KiB, free: 5.8 GiB)
"
1757511343258,"INFO	2025-09-10T13:35:43,257	10606	com.amazonaws.services.glue.GlueContext	[Thread-10]	917	Glue secret manager integration: secretId is not provided.
"
1757511343829,"INFO	2025-09-10T13:35:43,829	11178	com.amazonaws.services.glue.GlueContext	[Thread-10]	1046	The DataSource in action : com.amazonaws.services.glue.HadoopDataSource
"
1757511343846,"TRACE	2025-09-10T13:35:43,845	11194	com.amazonaws.services.glue.HadoopDataSource	[Thread-10]	552	DataSource - compression type from source options used: none
"
1757511343873,"INFO	2025-09-10T13:35:43,872	11221	com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark	[Thread-10]	392	IncompletePartitionFilter(partitionCreationEpoch=0, incompletePartition=)
"
1757511343873,"INFO	2025-09-10T13:35:43,873	11222	com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark	[Thread-10]	393	newPartitionFilter(partitionCreationEpoch=0, oldPartitions=Set())
INFO	2025-09-10T13:35:43,873	11222	com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark	[Thread-10]	394	UnprocessedPartitionFilter(partitionCreationEpoch=0, oldPartitions=Set())
"
1757511343874,"INFO	2025-09-10T13:35:43,874	11223	com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark	[Thread-10]	399	last job run range: low inconsistency range begin: 1970-01-01T00:00:00Z, 
 job run range begin: 1970-01-01T00:00:00Z, 
 high inconsistency range begin: 2025-09-10T13:20:43.866806243Z, 
 job run range end: 2025-09-10T13:35:43.866806243Z
"
1757511343929,"INFO	2025-09-10T13:35:43,929	11278	com.amazon.ws.emr.hadoop.fs.guice.DefaultAWSCredentialsProviderFactory	[Thread-10]	72	Unable to create provider using constructor: DefaultAWSCredentialsProviderChain(java.net.URI, org.apache.hadoop.conf.Configuration)
"
1757511343930,"INFO	2025-09-10T13:35:43,930	11279	com.amazon.ws.emr.hadoop.fs.util.ClientConfigurationFactory	[Thread-10]	85	Set initial getObject socket timeout to 2000 ms.
"
1757511344477,"INFO	2025-09-10T13:35:44,476	11825	com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark	[ForkJoinPool-2-worker-1]	422	After initial job bookmarks filter, processing 100.00% of 1 files in partition DynamicFramePartition(com.amazonaws.services.glue.DynamicRecord@a0139eb8,s3://data-engineering-task-bucket/ncr_ride_bookings.csv,0).
"
1757511344479,"TRACE	2025-09-10T13:35:44,478	11827	com.amazonaws.services.glue.HadoopDataSource	[Thread-10]	373	DataSource - grouping_none
"
1757511344479,"INFO	2025-09-10T13:35:44,479	11828	com.amazonaws.services.glue.HadoopDataSource	[Thread-10]	569	nonSplittable: false, disableSplitting: false, catalogCompressionNotSplittable: false, groupFilesTapeOption: none, format: csv, isColumnar: false
"
1757511344516,"INFO	2025-09-10T13:35:44,515	11864	com.hadoop.compression.lzo.GPLNativeCodeLoader	[Thread-10]	34	Loaded native gpl library
"
1757511344520,"INFO	2025-09-10T13:35:44,520	11869	com.hadoop.compression.lzo.LzoCodec	[Thread-10]	76	Successfully loaded & initialized native-lzo library [hadoop-lzo rev 049362b7cf53ff5f739d6b1532457f2c6cd495e8]
"
1757511344658,"INFO	2025-09-10T13:35:44,657	12006	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_2 stored as values in memory (estimated size 245.7 KiB, free 5.8 GiB)
"
1757511344669,"INFO	2025-09-10T13:35:44,669	12018	org.apache.spark.storage.BlockManagerInfo	[dispatcher-BlockManagerMaster]	60	Removed broadcast_1_piece0 on 172.39.49.172:37387 in memory (size: 40.6 KiB, free: 5.8 GiB)
"
1757511344693,"INFO	2025-09-10T13:35:44,692	12041	org.apache.spark.storage.memory.MemoryStore	[Thread-10]	60	Block broadcast_2_piece0 stored as bytes in memory (estimated size 41.8 KiB, actual size: 41.8 KiB, free 5.8 GiB)
"
1757511344694,"INFO	2025-09-10T13:35:44,693	12042	org.apache.spark.storage.BlockManagerInfo	[dispatcher-BlockManagerMaster]	60	Added broadcast_2_piece0 in memory on 172.39.49.172:37387 (size: 41.8 KiB, free: 5.8 GiB)
"
1757511344699,"INFO	2025-09-10T13:35:44,699	12048	org.apache.spark.SparkContext	[Thread-10]	60	Created broadcast 2 from newAPIHadoopRDD at DataSource.scala:440
"
1757511344756,"TRACE	2025-09-10T13:35:44,756	12105	com.amazonaws.services.glue.DynamicFrame	[Thread-10]	286	DynamicFrame - create
"
1757511344863,"TRACE	2025-09-10T13:35:44,862	12211	com.amazonaws.services.glue.DynamicFrame	[Thread-10]	1469	DynamicFrame - applyMapping
"
1757511345033,"TRACE	2025-09-10T13:35:45,032	12381	com.amazonaws.services.glue.DynamicFrame	[Thread-10]	286	DynamicFrame - create
"
1757511345049,"TRACE	2025-09-10T13:35:45,048	12397	com.amazonaws.services.glue.DynamicFrame	[Thread-10]	363	DynamicFrame - toDF
"
1757511345208,"INFO	2025-09-10T13:35:45,208	12557	org.apache.spark.sql.internal.SharedState	[Thread-10]	60	spark.sql.warehouse.dir is not set, but hive.metastore.warehouse.dir is set. Setting spark.sql.warehouse.dir to the value of hive.metastore.warehouse.dir.
"
1757511345212,"INFO	2025-09-10T13:35:45,212	12561	org.apache.spark.sql.internal.SharedState	[Thread-10]	60	Warehouse path is 'file:/tmp/spark-warehouse'.
