timestamp,event_time,log_level,process_id,module,thread,line_number,tag,text,date
1757511342804,"2025-09-10T13:35:42,804",info,10153,org.apache.spark.metrics.source.StageSkewness,Thread-10,29,Observability,Skewness metric using Skewness Factor = 5,2025-09-10
1757511342805,"2025-09-10T13:35:42,805",info,10154,org.apache.spark.metrics.source.ObservabilityTaskInfoRecorderListener,Thread-10,68,,PerformanceMetricsSource is initiated,2025-09-10
1757511342805,"2025-09-10T13:35:42,805",info,10154,com.amazonaws.services.glue.GlueContext,Thread-10,129,,ObservabilityMetrics configured and enabled,2025-09-10
1757511342834,"2025-09-10T13:35:42,833",info,10182,com.amazonaws.services.glue.util.Job$,Thread-10,94,,runId Method is Invoked,2025-09-10
1757511342834,"2025-09-10T13:35:42,834",info,10183,com.amazonaws.services.glue.util.Job$,Thread-10,103,,Job run ID under runId method is jr_abeec7a629dbdd0b2a85341d68fc44240c90423c19d39a89788cb1e38c7c826d,2025-09-10
1757511342867,"2025-09-10T13:35:42,867",info,10216,com.amazon.ws.emr.hadoop.fs.guice.DefaultAWSCredentialsProviderFactory,Thread-10,72,,"Unable to create provider using constructor: DefaultAWSCredentialsProviderChain(java.net.URI, org.apache.hadoop.conf.Configuration)",2025-09-10
1757511342868,"2025-09-10T13:35:42,868",info,10217,com.amazon.ws.emr.hadoop.fs.util.ClientConfigurationFactory,Thread-10,85,,Set initial getObject socket timeout to 2000 ms.,2025-09-10
1757511342870,"2025-09-10T13:35:42,870",info,10219,com.amazonaws.services.glue.util.FileListPersistence,Thread-10,37,,create FileListPersistence with conf: fs.s3.serverSideEncryption.kms.keyId: None,2025-09-10
1757511342872,"2025-09-10T13:35:42,872",info,10221,com.amazonaws.services.glue.utils.EndpointConfig$,Thread-10,36,,STAGE is prod,2025-09-10
1757511342873,"2025-09-10T13:35:42,873",info,10222,com.amazonaws.services.glue.utils.EndpointConfig$,Thread-10,90,,"Endpoints: {credentials_provider=com.amazonaws.auth.DefaultAWSCredentialsProviderChain, glue.endpoint=https://glue.us-east-1.amazonaws.com, lakeformation.endpoint=https://lakeformation.us-east-1.amazonaws.com, jes.endpoint=https://glue-jes-prod.us-east-1.amazonaws.com, region=us-east-1}",2025-09-10
1757511342901,"2025-09-10T13:35:42,900",info,10249,com.amazonaws.services.glue.util.AvroReaderUtil$,Thread-10,245,,Creating default Avro field parser for version 1.7.,2025-09-10
1757511343062,"2025-09-10T13:35:43,061",info,10410,org.apache.spark.storage.memory.MemoryStore,Thread-10,60,,"Block broadcast_0 stored as values in memory (estimated size 243.0 KiB, free 5.8 GiB)",2025-09-10
1757511343157,"2025-09-10T13:35:43,156",info,10505,org.apache.spark.storage.memory.MemoryStore,Thread-10,60,,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 40.6 KiB, actual size: 40.6 KiB, free 5.8 GiB)",2025-09-10
1757511343159,"2025-09-10T13:35:43,159",info,10508,org.apache.spark.storage.BlockManagerInfo,dispatcher-BlockManagerMaster,60,,"Added broadcast_0_piece0 in memory on 172.39.49.172:37387 (size: 40.6 KiB, free: 5.8 GiB)",2025-09-10
1757511343165,"2025-09-10T13:35:43,165",info,10514,org.apache.spark.SparkContext,Thread-10,60,,Created broadcast 0 from broadcast at DynamoConnection.scala:55,2025-09-10
1757511343178,"2025-09-10T13:35:43,178",info,10527,org.apache.spark.storage.memory.MemoryStore,Thread-10,60,,"Block broadcast_1 stored as values in memory (estimated size 243.0 KiB, free 5.8 GiB)",2025-09-10
1757511343221,"2025-09-10T13:35:43,221",info,10570,org.apache.spark.storage.memory.MemoryStore,Thread-10,60,,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 40.6 KiB, actual size: 40.6 KiB, free 5.8 GiB)",2025-09-10
1757511343231,"2025-09-10T13:35:43,230",info,10579,org.apache.spark.storage.BlockManagerInfo,dispatcher-BlockManagerMaster,60,,"Added broadcast_1_piece0 in memory on 172.39.49.172:37387 (size: 40.6 KiB, free: 5.8 GiB)",2025-09-10
1757511343234,"2025-09-10T13:35:43,234",info,10583,org.apache.spark.SparkContext,Thread-10,60,,Created broadcast 1 from broadcast at DynamoConnection.scala:55,2025-09-10
1757511343236,"2025-09-10T13:35:43,236",info,10585,com.amazonaws.services.glue.util.JobBookmark$,Thread-10,71,,"jobbookmark is not enabled, do not init AWSGlueJobBookMarkService",2025-09-10
1757511343246,"2025-09-10T13:35:43,246",info,10595,org.apache.spark.storage.BlockManagerInfo,dispatcher-BlockManagerMaster,60,,"Removed broadcast_0_piece0 on 172.39.49.172:37387 in memory (size: 40.6 KiB, free: 5.8 GiB)",2025-09-10
1757511343258,"2025-09-10T13:35:43,257",info,10606,com.amazonaws.services.glue.GlueContext,Thread-10,917,,Glue secret manager integration: secretId is not provided.,2025-09-10
1757511343829,"2025-09-10T13:35:43,829",info,11178,com.amazonaws.services.glue.GlueContext,Thread-10,1046,,The DataSource in action : com.amazonaws.services.glue.HadoopDataSource,2025-09-10
1757511343846,"2025-09-10T13:35:43,845",trace,11194,com.amazonaws.services.glue.HadoopDataSource,Thread-10,552,,DataSource - compression type from source options used: none,2025-09-10
1757511343873,"2025-09-10T13:35:43,872",info,11221,com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark,Thread-10,392,,"IncompletePartitionFilter(partitionCreationEpoch=0, incompletePartition=)",2025-09-10
1757511343873,"2025-09-10T13:35:43,873",info,11222,com.amazonaws.services.glue.hadoop.PartitionFilesListerUsingBookmark,Thread-10,393,,"newPartitionFilter(partitionCreationEpoch=0, oldPartitions=Set())",2025-09-10
