timestamp,log_level,thread,class,line,message_clean,date
2025-09-10T13:35:42.804Z,INFO,Thread-10,org.apache.spark.metrics.source.StageSkewness,10153,[Observability] Skewness metric using Skewness Factor = 5,2025-09-10
2025-09-10T13:35:42.805Z,INFO,Thread-10,org.apache.spark.metrics.source.ObservabilityTaskInfoRecorderListener,10154,PerformanceMetricsSource is initiated,2025-09-10
2025-09-10T13:35:42.805Z,INFO,Thread-10,com.amazonaws.services.glue.GlueContext,10154,ObservabilityMetrics configured and enabled,2025-09-10
2025-09-10T13:35:42.833Z,INFO,Thread-10,com.amazonaws.services.glue.util.Job$,10182,runId Method is Invoked,2025-09-10
2025-09-10T13:35:42.834Z,INFO,Thread-10,com.amazonaws.services.glue.util.Job$,10183,Job run ID under runId method is jr_abeec7a629dbdd0b2a85341d68fc44240c90423c19d39a89788cb1e38c7c826d,2025-09-10
2025-09-10T13:35:42.867Z,INFO,Thread-10,com.amazon.ws.emr.hadoop.fs.guice.DefaultAWSCredentialsProviderFactory,10216,"Unable to create provider using constructor: DefaultAWSCredentialsProviderChain(java.net.URI, org.apache.hadoop.conf.Configuration)",2025-09-10
2025-09-10T13:35:42.868Z,INFO,Thread-10,com.amazon.ws.emr.hadoop.fs.util.ClientConfigurationFactory,10217,Set initial getObject socket timeout to 2000 ms.,2025-09-10
2025-09-10T13:35:42.870Z,INFO,Thread-10,com.amazonaws.services.glue.util.FileListPersistence,10219,create FileListPersistence with conf: fs.s3.serverSideEncryption.kms.keyId: None,2025-09-10
2025-09-10T13:35:42.872Z,INFO,Thread-10,com.amazonaws.services.glue.utils.EndpointConfig$,10221,STAGE is prod,2025-09-10
2025-09-10T13:35:42.873Z,INFO,Thread-10,com.amazonaws.services.glue.utils.EndpointConfig$,10222,"Endpoints: {credentials_provider=com.amazonaws.auth.DefaultAWSCredentialsProviderChain, glue.endpoint=https://glue.us-east-1.amazonaws.com, lakeformation.endpoint=https://lakeformation.us-east-1.amazonaws.com, jes.endpoint=https://glue-jes-prod.us-east-1.amazonaws.com, region=us-east-1}",2025-09-10
